orf_id,Ensembl
A0A087X1C5,
A0A0B4J2F0,ENST00000436697.3;ENST00000567948.1;
A0A0B4J2F2,
A0A0C5B5G6,
A0A0K2S4Q6,
A0A0U1RRE5,ENST00000374922.9;ENST00000423617.2;ENST00000637096.1;
A0A1B0GTW7,
A0A5B9,
A0AV02,
A0AV96,
A0AVF1,
A0AVI4,
A0AVK6,
A0AVT1,
A0FGR8,
A0FGR9,
A0JLT2,
A0JNW5,
A0JP26,
A0M8Q6,
A0MZ66,
A0PJK1,
A0PJY2,
A0PK00,
A0PK11,
A1A4S6,
A1A4Y4,ENST00000522154.2;
A1A519,
A1A5B4,
A1A5C7,
A1E959,
A1KXE4,ENST00000389915.4 [A1KXE4-1];ENST00000409185.5 [A1KXE4-1];
A1KZ92,
A1L0T0,
A1L167,ENST00000399816.4;
A1L190,ENST00000402753.1;ENST00000406915.4;
A1L390,
A1L3X0,
A1L4H1,
A1L4K1,
A1X283,
A1XBS5,
A1Z1Q3,
A2A288,
A2A2Y4,
A2IDD5,
A2PYH4,
A2RRP1,
A2RTX5,
A2RU14,ENST00000279968.8;ENST00000526175.5;ENST00000527271.5;ENST00000527766.5;ENST00000529583.5;ENST00000531909.5;ENST00000532407.5;ENST00000682305.1;
A2RU30,
A2RU49,
A2RUB1,
A2RUB6,
A2RUC4,
A2RUH7,
A2VDJ0,
A2VEC9,
A3KMH1,
A4D0S4,
A4D126,
A4D161,
A4D1B5,
A4D1E9,
A4D1P6,
A4D1T9,
A4D256,
A4D2B0,
A4D2B8,
A4GXA9,
A4UGR9,
A5D8T8,
A5D8V6,
A5D8V7,
A5D8W1,
A5LHX3,
A5PKW4,
A5PLL7,
A5X5Y0,
A5YKK6,
A5YM72,
A6BM72,
A6H8Y1,
A6H8Z2,
A6NC98,
A6NCS4,
A6ND01,
A6ND36,
A6NDB9,
A6NDE4,
A6NDG6,
A6NDV4,
A6NED2,
A6NEM1,
A6NFA1,
A6NFQ2,
A6NFX1,
A6NFY7,ENST00000378887.4;
A6NGG8,
A6NGQ2,ENST00000370359.6;
A6NGU5,
A6NHL2,
A6NHR9,
A6NI15,ENST00000281047.4;
A6NI61,
A6NI73,
A6NIH7,
A6NIX2,
A6NJ46,
A6NJ78,
A6NK06,
A6NK58,
A6NK89,
A6NKB5,
A6NL88,
A6NMY6,
A6NMZ7,
A6NNB3,ENST00000382614.2;
A6NNM8,
A6NNY8,
A6NNZ2,
A6PVC2,
A7E2V4,
A7E2Y1,
A7KAX9,
A7MCY6,
A7MD48,
A7XYQ1,
A8CG34,
A8K0Z3,
A8K2U0,
A8K4G0,
A8K7I4,
A8K830,
A8K8P3,
A8K8V0,
A8MPY1,
A8MQ03,ENST00000650725.2;
A8MQ27,
A8MT69,ENST00000306704.10 [A8MT69-2];ENST00000392359.8 [A8MT69-1];ENST00000580435.5 [A8MT69-3];
A8MTA8,
A8MTJ3,
A8MTQ0,
A8MTZ0,ENST00000423273.5 [A8MTZ0-3];ENST00000436562.1 [A8MTZ0-2];ENST00000447005.5 [A8MTZ0-2];ENST00000448814.7 [A8MTZ0-1];ENST00000454061.5 [A8MTZ0-4];ENST00000605742.5 [A8MTZ0-1];ENST00000651952.1 [A8MTZ0-2];ENST00000652043.1 [A8MTZ0-1];ENST00000652396.1 [A8MTZ0-2];ENST00000652400.1 [A8MTZ0-2];
A8MU46,
A8MUP2,
A8MV65,
A8MVW5,
A8MW95,
A8MW99,
A8MXD5,
A8MXV4,
A8MYU2,
A8MZ59,ENST00000396841.4 [A8MZ59-1];ENST00000629267.1 [A8MZ59-1];ENST00000638280.2 [A8MZ59-2];ENST00000640845.1 [A8MZ59-2];
A8TX70,
A9UHW6,
A9YTQ3,
B0I1T2,
B0L3A2,
B0YJ81,
B1AK53,
B2RTY4,
B2RUY7,
B2RUZ4,ENST00000444870.7;ENST00000642557.4;
B2RXF5,
B2RXH2,
B3KU38,
B6A8C7,
B7U540,
B7ZAQ6,
C4AMC7,
C9JE40,
C9JLW8,ENST00000455127.7;ENST00000538396.5;ENST00000574190.5;ENST00000576730.5;ENST00000672201.1;ENST00000672501.1;ENST00000673154.1;ENST00000673369.1;
C9JR72,
C9JRZ8,
D3W0D1,
D6RGH6,
E0CX11,ENST00000507606.3;
F5H094,
G2XKQ0,
H0YL14,ENST00000418388.6;ENST00000557985.2;ENST00000561457.2;
K7EJ46,ENST00000586005.6 [K7EJ46-2];ENST00000586440.1 [K7EJ46-2];ENST00000588606.5 [K7EJ46-3];ENST00000589327.5 [K7EJ46-2];ENST00000589721.5 [K7EJ46-3];ENST00000591870.1 [K7EJ46-3];ENST00000615889.4 [K7EJ46-2];
K9M1U5,
M0R2J8,
O00115,
O00116,
O00124,
O00139,
O00141,
O00142,
O00144,
O00148,
O00151,
O00154,
O00155,
O00159,
O00160,
O00161,
O00165,
O00167,
O00168,ENST00000351325.9;ENST00000455515.6;ENST00000588081.5;ENST00000588607.5;ENST00000588715.5;ENST00000589209.5;ENST00000612146.4;
O00170,
O00175,ENST00000222902.7;ENST00000416943.1;
O00180,
O00182,
O00186,
O00187,
O00189,
O00192,
O00194,
O00198,ENST00000257572.5;
O00203,
O00204,
O00206,
O00212,
O00213,
O00214,
O00217,
O00219,
O00220,
O00221,
O00222,
O00230,ENST00000377049.4;
O00231,
O00232,
O00233,
O00237,
O00238,
O00241,
O00244,ENST00000313115.11;ENST00000522710.1;ENST00000524142.5;
O00253,ENST00000290953.3;
O00254,
O00255,
O00257,
O00258,ENST00000380708.5 [O00258-2];ENST00000398753.5 [O00258-2];ENST00000649170.1 [O00258-1];ENST00000650376.1 [O00258-2];
O00264,ENST00000217971.8 [O00264-1];ENST00000535419.2 [O00264-2];
O00267,
O00268,
O00270,
O00273,
O00287,
O00291,
O00292,
O00294,
O00299,
O00300,
O00303,
O00305,
O00308,
O00311,
O00322,
O00327,
O00329,
O00330,
O00337,
O00338,
O00339,
O00341,
O00358,
O00370,
O00391,
O00400,
O00401,
O00408,
O00409,
O00410,
O00411,
O00418,
O00421,
O00422,ENST00000382533.9 [O00422-2];ENST00000607003.5 [O00422-1];ENST00000621421.4 [O00422-2];
O00423,
O00425,
O00429,
O00442,
O00443,
O00444,
O00445,
O00451,
